Error: That port is already in use.
[18/Nov/2013 11:21:38] "GET / HTTP/1.0" 200 9695
[18/Nov/2013 11:21:38] "GET /static/bootstrap/css/bootstrap-responsive.css HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/bootstrap/js/bootstrap.min.js HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/bootstrap/js/jquery-1.7.2.min.js HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/extra/js/extra.js HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/extra/js/amcharts.js HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/extra/img/saltstack_logo.png HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/bootstrap/img/glyphicons-halflings-white.png HTTP/1.0" 304 0
[18/Nov/2013 11:21:38] "GET /static/extra/img/loadings.gif HTTP/1.0" 304 0
[18/Nov/2013 11:22:30] "POST /execute HTTP/1.0" 200 342
[18/Nov/2013 11:22:30] "GET /getjobinfo?jid=0&option= HTTP/1.0" 200 25
[18/Nov/2013 11:22:30] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:31] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:32] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:33] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:34] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:35] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:36] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:37] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:38] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:40] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:41] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:42] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:43] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:44] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:22:45] "GET /getjobinfo?jid=0&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:28:12] "POST /execute HTTP/1.0" 200 361
[18/Nov/2013 11:28:12] "GET /getjobinfo?jid=20131118112812542533&option= HTTP/1.0" 200 44
[18/Nov/2013 11:28:12] "GET /getjobinfo?jid=20131118112812542533&where=0 HTTP/1.0" 200 26
[18/Nov/2013 11:28:13] "GET /getjobinfo?jid=20131118112812542533&where=0 HTTP/1.0" 200 2879
[18/Nov/2013 11:28:13] "GET /getjobinfo?jid=20131118112812542533&where=19 HTTP/1.0" 200 27
[18/Nov/2013 11:28:14] "GET /getjobinfo?jid=20131118112812542533&where=19 HTTP/1.0" 200 479
[18/Nov/2013 11:28:14] "GET /getjobinfo?jid=20131118112812542533&where=22 HTTP/1.0" 200 27
[18/Nov/2013 11:28:15] "GET /getjobinfo?jid=20131118112812542533&where=22 HTTP/1.0" 200 629
[18/Nov/2013 11:28:15] "GET /getjobinfo?jid=20131118112812542533&where=26 HTTP/1.0" 200 27
[18/Nov/2013 11:28:16] "GET /getjobinfo?jid=20131118112812542533&where=26 HTTP/1.0" 200 27
[18/Nov/2013 11:28:17] "GET /getjobinfo?jid=20131118112812542533&where=26 HTTP/1.0" 200 27
[18/Nov/2013 11:28:18] "GET /getjobinfo?jid=20131118112812542533&where=26 HTTP/1.0" 200 1976
